class,x1,y1,v1,x2,y2,v2,x3,y3,v3,x4,y4,v4,x5,y5,v5,x6,y6,v6,x7,y7,v7,x8,y8,v8,x9,y9,v9,x10,y10,v10,x11,y11,v11,x12,y12,v12,x13,y13,v13,x14,y14,v14,x15,y15,v15,x16,y16,v16,x17,y17,v17
correct,557.6807250976562,402.78204345703125,0.8431925177574158,547.774169921875,368.21661376953125,0.7697352766990662,561.8739624023438,388.7120361328125,0.4028468132019043,575.070068359375,297.3738098144531,0.7810454964637756,602.08154296875,333.9830017089844,0.13751651346683502,708.8616943359375,287.93365478515625,0.9936689734458923,705.7037353515625,314.38153076171875,0.9368706941604614,819.8953857421875,521.0995483398438,0.9866636991500854,847.4778442382812,494.5192565917969,0.7368633151054382,795.8156127929688,807.819580078125,0.9402718544006348,831.7512817382812,799.494873046875,0.6424520611763,1164.783935546875,340.8506774902344,0.9941359758377075,1139.735107421875,396.3179626464844,0.9837679266929626,1503.2686767578125,550.6458740234375,0.9649420380592346,1477.86669921875,565.9428100585938,0.9185457229614258,1858.402587890625,662.5244750976562,0.7681474089622498,1827.979248046875,660.5396728515625,0.7016476988792419
correct,550.20703125,409.3707275390625,0.8412449955940247,536.11328125,375.112060546875,0.747549831867218,550.9712524414062,400.338134765625,0.4043140709400177,560.1031494140625,302.6673278808594,0.7533066868782043,586.138427734375,351.1177673339844,0.1465500146150589,707.7326049804688,291.0938415527344,0.9946693778038025,697.9421997070312,327.12701416015625,0.9500574469566345,829.5470581054688,521.6317749023438,0.9892565011978149,851.6649169921875,498.6160888671875,0.8039229512214661,801.1763305664062,808.2463989257812,0.9503174424171448,831.49462890625,801.8090209960938,0.7147933840751648,1172.1917724609375,349.5879211425781,0.9957045912742615,1140.2349853515625,408.4198913574219,0.9887403845787048,1515.9495849609375,562.2334594726562,0.9673483371734619,1478.100830078125,584.9535522460938,0.9275811314582825,1856.9407958984375,652.8736572265625,0.7723203897476196,1814.7381591796875,646.1173706054688,0.7125453352928162
correct,543.5025024414062,417.7391052246094,0.8232067227363586,531.9440307617188,384.27081298828125,0.7306447625160217,544.31005859375,409.3025207519531,0.3625597655773163,560.93603515625,312.72125244140625,0.7604214549064636,582.6698608398438,360.71221923828125,0.13232402503490448,708.470458984375,299.3757019042969,0.9951279163360596,698.7198486328125,337.2211608886719,0.9492673277854919,825.70166015625,517.975830078125,0.9907543659210205,861.9061889648438,500.48565673828125,0.8069598078727722,801.3098754882812,806.312255859375,0.9549935460090637,838.2672729492188,798.3585205078125,0.7148202061653137,1168.9986572265625,365.1708984375,0.9964064955711365,1135.51025390625,423.9458312988281,0.9899654388427734,1528.5799560546875,570.0003662109375,0.9697691798210144,1483.03662109375,588.8292846679688,0.9299818277359009,1860.761474609375,644.9580688476562,0.7875878810882568,1822.81787109375,636.7207641601562,0.7265909314155579
correct,541.11767578125,432.9531555175781,0.8093184232711792,526.2577514648438,399.6199951171875,0.6831991076469421,540.3919677734375,425.0482177734375,0.37373408675193787,550.4442749023438,327.9918212890625,0.6895869970321655,572.3599853515625,376.9661865234375,0.1489351987838745,701.9946899414062,311.59503173828125,0.9939238429069519,691.2493286132812,350.3691101074219,0.9525896310806274,842.9624633789062,527.7848510742188,0.9882696866989136,862.97900390625,513.5798950195312,0.832882285118103,808.7809448242188,806.1502075195312,0.9471490979194641,836.6671142578125,806.5347900390625,0.7457614541053772,1170.5556640625,367.1458740234375,0.9960241317749023,1138.74853515625,426.4453125,0.9904728531837463,1524.133544921875,571.7949829101562,0.9684438109397888,1496.1314697265625,589.2013549804688,0.9363402724266052,1861.9703369140625,650.9805908203125,0.7867928743362427,1831.5531005859375,638.3172607421875,0.7433360815048218
correct,531.1219482421875,436.8444519042969,0.7801150679588318,516.5531005859375,405.4496154785156,0.6659090518951416,531.8132934570312,427.0743713378906,0.3203378915786743,539.89306640625,338.4876708984375,0.6997270584106445,567.6077270507812,378.64373779296875,0.1297379583120346,689.5567016601562,324.8265380859375,0.9937126040458679,697.2627563476562,355.5570373535156,0.9435752034187317,842.8991088867188,534.1386108398438,0.9880936741828918,875.6964111328125,514.3466186523438,0.8086466789245605,816.610107421875,803.9577026367188,0.947054922580719,849.2297973632812,800.7847290039062,0.7269469499588013,1181.0694580078125,381.06610107421875,0.9956628680229187,1164.309326171875,436.2018127441406,0.9891561269760132,1524.8819580078125,579.1188354492188,0.9676764607429504,1515.7757568359375,585.7120361328125,0.9328229427337646,1858.5234375,655.2819213867188,0.7925717830657959,1839.4833984375,637.0165405273438,0.7491281628608704
correct,522.2863159179688,450.04559326171875,0.8212572336196899,507.7226257324219,419.05389404296875,0.7401440143585205,521.1331176757812,443.032470703125,0.3709855079650879,536.6796875,354.34149169921875,0.7646150588989258,560.744384765625,400.2252502441406,0.13764582574367523,688.3565673828125,342.1103210449219,0.9948712587356567,701.6427612304688,378.7691650390625,0.9515156745910645,847.8220825195312,541.8889770507812,0.9891830682754517,886.2393188476562,531.1026000976562,0.81092768907547,813.7376098632812,810.2495727539062,0.9483649134635925,859.3440551757812,799.4189453125,0.7183488607406616,1171.1282958984375,394.3624267578125,0.9962151646614075,1157.9443359375,450.32867431640625,0.9902847409248352,1503.5921630859375,572.8414916992188,0.9740157127380371,1500.79736328125,583.3475341796875,0.94432532787323,1856.829345703125,655.1121826171875,0.8338176012039185,1830.9664306640625,635.880859375,0.7943549752235413
correct,515.8196411132812,481.4291687011719,0.8475207686424255,494.9034118652344,448.5117492675781,0.7377342581748962,511.5252990722656,479.6082458496094,0.47210291028022766,515.7233276367188,374.35015869140625,0.7292254567146301,543.6610107421875,438.3841857910156,0.2076590657234192,676.3070068359375,356.5968017578125,0.9952524900436401,697.9454956054688,410.1123962402344,0.9702516198158264,848.672119140625,560.6442260742188,0.9882057905197144,887.5173950195312,554.4341430664062,0.8815464973449707,793.55859375,815.793701171875,0.9320498704910278,838.11767578125,806.086669921875,0.7685114145278931,1158.828369140625,413.0528869628906,0.9959889054298401,1145.0386962890625,473.9098205566406,0.9917396306991577,1526.8427734375,584.7727661132812,0.9709702134132385,1509.06298828125,601.7088012695312,0.9503000378608704,1865.81103515625,646.7084350585938,0.8061878681182861,1810.7578125,626.2014770507812,0.7846938371658325
correct,502.0326232910156,494.1122131347656,0.8305121064186096,479.35784912109375,460.6829528808594,0.7001045346260071,490.49267578125,496.4814147949219,0.46604228019714355,506.4372253417969,389.3906555175781,0.6735013127326965,516.7302856445312,464.8917236328125,0.22408701479434967,675.8695678710938,373.0277099609375,0.994498074054718,683.8101806640625,435.602783203125,0.9687747359275818,851.7614135742188,565.1467895507812,0.9864540696144104,883.7178955078125,569.00341796875,0.8871959447860718,781.6564331054688,818.8480224609375,0.9250437021255493,835.1448364257812,806.404541015625,0.7859777808189392,1163.8677978515625,432.9760437011719,0.9952990412712097,1140.719970703125,498.3314208984375,0.9909384250640869,1547.7327880859375,587.0430908203125,0.963409960269928,1529.443115234375,612.7168579101562,0.9423598051071167,1862.627685546875,635.3203735351562,0.7799490690231323,1814.1680908203125,606.6553344726562,0.7661688327789307
correct,501.2392272949219,510.4863586425781,0.7902495265007019,478.6689147949219,479.8180847167969,0.6407111287117004,493.3329162597656,511.2164001464844,0.4043682813644409,497.4895935058594,413.3957824707031,0.6309165954589844,517.6885986328125,478.78656005859375,0.2009701430797577,663.3489990234375,399.095947265625,0.9936860203742981,678.1512451171875,450.7577209472656,0.961487352848053,852.1146850585938,578.80517578125,0.9860950708389282,887.28955078125,565.4725341796875,0.8786610960960388,796.9296264648438,808.4468994140625,0.9280416369438171,856.6166381835938,787.5905151367188,0.7898515462875366,1166.4383544921875,458.82513427734375,0.9947093725204468,1147.6549072265625,521.8172607421875,0.9894968271255493,1566.55859375,607.5450439453125,0.9550647735595703,1550.6312255859375,627.3455200195312,0.9288764595985413,1882.3787841796875,635.4376831054688,0.738606870174408,1836.5684814453125,612.1748657226562,0.722166895866394
correct,491.8482360839844,524.563720703125,0.6634440422058105,472.62628173828125,496.13616943359375,0.5066021680831909,489.1018371582031,523.6902465820312,0.24103860557079315,494.63189697265625,431.32562255859375,0.5736554265022278,521.0503540039062,485.91339111328125,0.11754109710454941,658.8511962890625,410.4298095703125,0.9914247989654541,671.8920288085938,454.67193603515625,0.9351105093955994,855.8456420898438,566.0457153320312,0.986171543598175,885.5451049804688,553.1779174804688,0.840979814529419,813.3017578125,811.1820068359375,0.9418073892593384,865.6538696289062,787.8025512695312,0.7728564739227295,1152.5255126953125,483.6726379394531,0.9957199692726135,1136.8673095703125,543.8870239257812,0.990453839302063,1523.632080078125,607.4595947265625,0.9664734601974487,1523.474853515625,627.6568603515625,0.939498245716095,1850.141357421875,654.4013671875,0.8236043453216553,1824.598388671875,640.8352661132812,0.7969573140144348
